zillow_id,area_unit,bathrooms,bedrooms,home_size,home_type,last_sold_date,last_sold_price,link,price,property_size,rent_price,rentzestimate_amount,rentzestimate_last_updated,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,address,city,state,zipcode
20027395,SqFt,5.0,5,3700.0,SingleFamily,09/08/2016,2323000.0,https://www.zillow.com/homedetails/4228-Agnes-Ave-Studio-City-CA-91604/20027395_zpid/,2320000.0,6969.0,,9000.0,08/07/2018,2323000.0,2017,2016.0,2685735.0,08/07/2018,4228 Agnes Ave,Studio City,CA,91604
20027407,SqFt,6.0,5,3912.0,SingleFamily,07/08/2016,2445000.0,https://www.zillow.com/homedetails/4257-Farmdale-Ave-Studio-City-CA-91604/20027407_zpid/,2440000.0,6699.0,,12500.0,08/07/2018,2445000.0,2017,2016.0,2868109.0,08/07/2018,4257 Farmdale Ave,Studio City,CA,91604
20027444,SqFt,5.5,5,3821.0,SingleFamily,12/03/2015,2401000.0,https://www.zillow.com/homedetails/4247-Camellia-Ave-Studio-City-CA-91604/20027444_zpid/,2400000.0,6751.0,,11900.0,08/07/2018,2449020.0,2017,2015.0,2924083.0,08/07/2018,4247 Camellia Ave,Studio City,CA,91604
20027448,SqFt,6.0,5,3700.0,SingleFamily,02/05/2016,2390000.0,https://www.zillow.com/homedetails/4252-Beck-Ave-Studio-City-CA-91604/20027448_zpid/,2390000.0,6782.0,,13995.0,08/07/2018,2437800.0,2017,2015.0,2873451.0,08/07/2018,4252 Beck Ave,Studio City,CA,91604
20027449,SqFt,6.0,5,3915.0,SingleFamily,12/28/2017,2355000.0,https://www.zillow.com/homedetails/4246-Beck-Ave-Studio-City-CA-91604/20027449_zpid/,2350000.0,6783.0,,10000.0,08/07/2018,1200107.0,2017,2011.0,2521116.0,08/07/2018,4246 Beck Ave,Studio City,CA,91604
20027454,SqFt,5.0,5,3850.0,SingleFamily,01/15/2016,2372500.0,https://www.zillow.com/homedetails/4252-Farmdale-Ave-Studio-City-CA-91604/20027454_zpid/,2370000.0,6746.0,,4750.0,08/07/2018,2419950.0,2017,2015.0,2864628.0,08/07/2018,4252 Farmdale Ave,Studio City,CA,91604
20027465,SqFt,6.0,5,3768.0,SingleFamily,01/13/2017,2335000.0,https://www.zillow.com/homedetails/4201-Kraft-Ave-Studio-City-CA-91604/20027465_zpid/,2330000.0,6660.0,,10000.0,08/07/2018,1569514.0,2017,2016.0,2643945.0,08/07/2018,4201 Kraft Ave,Studio City,CA,91604
20027534,SqFt,6.0,5,3950.0,SingleFamily,06/21/2017,2575000.0,https://www.zillow.com/homedetails/4172-Farmdale-Ave-Studio-City-CA-91604/20027534_zpid/,2580000.0,6765.0,,14500.0,08/07/2018,1145000.0,2017,2017.0,2800948.0,08/07/2018,4172 Farmdale Ave,Studio City,CA,91604
20027539,SqFt,6.0,5,4300.0,SingleFamily,03/30/2018,2335000.0,https://www.zillow.com/homedetails/4161-Kraft-Ave-Studio-City-CA-91604/20027539_zpid/,2330000.0,6750.0,,9300.0,08/07/2018,1819708.0,2017,2008.0,2390829.0,08/07/2018,4161 Kraft Ave,Studio City,CA,91604
20027543,SqFt,5.5,5,4516.0,Condominium,02/13/2018,2875000.0,https://www.zillow.com/homedetails/11432-Aqua-Vista-St-Studio-City-CA-91604/20027543_zpid/,2880000.0,8276.0,,13000.0,08/07/2018,1591558.0,2017,2006.0,2959940.0,08/07/2018,11432 Aqua Vista St,Studio City,CA,91604
20027546,SqFt,5.0,5,3638.0,SingleFamily,06/16/2016,2365000.0,https://www.zillow.com/homedetails/4170-Kraft-Ave-Studio-City-CA-91604/20027546_zpid/,2370000.0,6525.0,,9600.0,08/07/2018,2412300.0,2017,2016.0,2767654.0,08/07/2018,4170 Kraft Ave,Studio City,CA,91604
20027567,SqFt,4.5,5,3800.0,SingleFamily,11/22/2016,2400000.0,https://www.zillow.com/homedetails/4140-Camellia-Ave-Studio-City-CA-91604/20027567_zpid/,2400000.0,6534.0,,8700.0,08/07/2018,2400000.0,2017,2016.0,2751813.0,08/07/2018,4140 Camellia Ave,Studio City,CA,91604
20027810,SqFt,2.0,4,1815.0,SingleFamily,08/18/2015,1180000.0,https://www.zillow.com/homedetails/12109-Cantura-St-Studio-City-CA-91604/20027810_zpid/,1180000.0,5201.0,,4750.0,08/07/2018,1203600.0,2017,1950.0,1246635.0,08/07/2018,12109 Cantura St,Studio City,CA,91604
20027863,SqFt,4.5,5,3325.0,SingleFamily,05/27/2016,2275000.0,https://www.zillow.com/homedetails/12124-Cantura-St-Studio-City-CA-91604/20027863_zpid/,2270000.0,5837.0,,8000.0,08/07/2018,2297750.0,2017,2016.0,2674238.0,08/07/2018,12124 Cantura St,Studio City,CA,91604
20027916,SqFt,6.0,5,3400.0,SingleFamily,01/19/2017,2350000.0,https://www.zillow.com/homedetails/12131-Hollyglen-Pl-Studio-City-CA-91604/20027916_zpid/,2350000.0,5850.0,,8000.0,08/07/2018,1045500.0,2017,2016.0,2650649.0,08/07/2018,12131 Hollyglen Pl,Studio City,CA,91604
20028005,SqFt,6.0,5,4183.0,SingleFamily,09/29/2017,2600000.0,https://www.zillow.com/homedetails/3738-Mound-View-Ave-Studio-City-CA-91604/20028005_zpid/,2600000.0,6743.0,,3950.0,08/07/2018,1025000.0,2017,2017.0,2766246.0,08/07/2018,3738 Mound View Ave,Studio City,CA,91604
20028045,SqFt,3.0,4,2435.0,SingleFamily,02/27/2017,2100000.0,https://www.zillow.com/homedetails/3838-Vantage-Ave-Studio-City-CA-91604/20028045_zpid/,2100000.0,12541.0,,6500.0,08/07/2018,1540000.0,2017,1941.0,2311764.0,08/07/2018,3838 Vantage Ave,Studio City,CA,91604
20028051,SqFt,5.5,5,3368.0,SingleFamily,02/25/2016,2050000.0,https://www.zillow.com/homedetails/3812-Vantage-Ave-Studio-City-CA-91604/20028051_zpid/,2049999.9999999998,6268.0,,7900.0,08/07/2018,2091000.0,2017,1929.0,2388669.0,08/07/2018,3812 Vantage Ave,Studio City,CA,91604
20028052,SqFt,5.0,5,4695.0,SingleFamily,11/30/2012,1700000.0,https://www.zillow.com/homedetails/3806-Vantage-Ave-Studio-City-CA-91604/20028052_zpid/,2850000.0,6268.0,,10000.0,08/07/2018,1803766.0,2017,2008.0,2861308.0,08/07/2018,3806 Vantage Ave,Studio City,CA,91604
20028132,SqFt,4.0,6,4214.0,SingleFamily,03/04/2016,2450000.0,https://www.zillow.com/homedetails/12019-Laurel-Ln-Studio-City-CA-91604/20028132_zpid/,2450000.0,17141.0,,10073.0,08/07/2018,2499000.0,2017,1923.0,2927890.0,08/07/2018,12019 Laurel Ln,Studio City,CA,91604
20028217,SqFt,5.5,5,4900.0,SingleFamily,08/13/2015,2955000.0,https://www.zillow.com/homedetails/3923-Carpenter-Ct-Studio-City-CA-91604/20028217_zpid/,2960000.0,9147.0,,12831.0,08/07/2018,3014100.0,2017,2015.0,3674562.0,08/07/2018,3923 Carpenter Ct,Studio City,CA,91604
20028218,SqFt,3.0,4,1898.0,SingleFamily,10/27/2015,1585000.0,https://www.zillow.com/homedetails/3929-Carpenter-Ct-Studio-City-CA-91604/20028218_zpid/,1580000.0,9001.0,,4950.0,08/07/2018,1616700.0,2017,1936.0,1521019.0,08/07/2018,3929 Carpenter Ct,Studio City,CA,91604
20028383,SqFt,4.5,5,3325.0,SingleFamily,10/26/2016,2312500.0,https://www.zillow.com/homedetails/12121-Viewcrest-Rd-Studio-City-CA-91604/20028383_zpid/,2310000.0,5662.0,,8700.0,08/07/2018,2312500.0,2017,2016.0,2559106.0,08/07/2018,12121 Viewcrest Rd,Studio City,CA,91604
20028395,SqFt,6.0,6,4803.0,SingleFamily,11/30/2015,2570000.0,https://www.zillow.com/homedetails/12134-Hollyglen-Pl-Studio-City-CA-91604/20028395_zpid/,2570000.0,5662.0,,11500.0,08/07/2018,2621400.0,2017,2015.0,3406194.0,08/07/2018,12134 Hollyglen Pl,Studio City,CA,91604
20028420,SqFt,4.0,4,3477.0,SingleFamily,11/17/2016,2115000.0,https://www.zillow.com/homedetails/4135-Fulton-Ave-Sherman-Oaks-CA-91423/20028420_zpid/,2120000.0,8825.0,,10500.0,08/07/2018,2115000.0,2017,1946.0,2416274.0,08/07/2018,4135 Fulton Ave,Sherman Oaks,CA,91423
20028437,SqFt,5.0,5,4046.0,SingleFamily,08/31/2017,2600000.0,https://www.zillow.com/homedetails/4160-Dixie-Canyon-Ave-Sherman-Oaks-CA-91423/20028437_zpid/,2600000.0,8820.0,,10500.0,08/07/2018,2552033.0,2017,1937.0,2775509.0,08/07/2018,4160 Dixie Canyon Ave,Sherman Oaks,CA,91423
20028457,SqFt,6.0,5,4999.0,SingleFamily,02/17/2016,2770000.0,https://www.zillow.com/homedetails/4170-Greenbush-Ave-Sherman-Oaks-CA-91423/20028457_zpid/,2770000.0,8842.0,,11474.0,08/07/2018,2825400.0,2017,2015.0,3332500.0,08/07/2018,4170 Greenbush Ave,Sherman Oaks,CA,91423
20028462,SqFt,6.0,5,4821.0,SingleFamily,01/20/2018,2925000.0,https://www.zillow.com/homedetails/4152-Greenbush-Ave-Sherman-Oaks-CA-91423/20028462_zpid/,2920000.0,8829.0,,11900.0,08/07/2018,2797992.0,2017,2013.0,3051666.0,08/07/2018,4152 Greenbush Ave,Sherman Oaks,CA,91423
20028492,SqFt,5.0,5,4607.0,SingleFamily,11/08/2016,2630000.0,https://www.zillow.com/homedetails/4159-Greenbush-Ave-Sherman-Oaks-CA-91423/20028492_zpid/,2630000.0,7972.0,,11900.0,08/07/2018,2630000.0,2017,2013.0,3010997.0,08/07/2018,4159 Greenbush Ave,Sherman Oaks,CA,91423
20028524,SqFt,6.0,5,4830.0,SingleFamily,02/22/2017,2790000.0,https://www.zillow.com/homedetails/4146-Allott-Ave-Sherman-Oaks-CA-91423/20028524_zpid/,2790000.0,7974.0,,10699.0,08/07/2018,2411460.0,2017,2016.0,3225008.0,08/07/2018,4146 Allott Ave,Sherman Oaks,CA,91423
